Username,Profile URL,Total Valid Entries,Total Likes on Entries,Final Winning Score
Winner #1,https://www.instagram.com/winner1/?next=&hl=en,160,43,203
Winner #2,https://www.instagram.com/winner2/?next=&hl=en,53,23,76
Winner #3,https://www.instagram.com/winner3/?next=&hl=en,9,9,18
Winner #4,https://www.instagram.com/winner4/?next=&hl=en,26,24,50
Winner #5,https://www.instagram.com/winner5/?next=&hl=en,1,1,2
Winner #6,https://www.instagram.com/winner6/?next=&hl=en,24,24,48
Winner #7,https://www.instagram.com/winner7/?next=&hl=en,1,0,1
Winner #8,https://www.instagram.com/winner8/?next=&hl=en,272,18,290
Winner #9,https://www.instagram.com/winner9/?next=&hl=en,14,0,14
Winner #10,https://www.instagram.com/winner10/?next=&hl=en,2,0,2
